TITRE;CATEGORIE;GENRE;REALISATEUR;ORIGINE;ACTEUR;CLASSEUR;NUMERO;TYPE;ZONE;ANNEE;LANGUE;COMMENTAIRES;VOIR;;;;;;;;;
Fargo: Saison 2 (10 épisodes);Policier;Thriller;Noah Hawley;USA;Kirsten Dunst - Patrick Wilson - Jesse Plemons    Jean Smart - Ted Danson - Russell Harvard;;;DVD;2;2015;Fr-Ang;Série Fargo;OUI;;;;;;;;;
Fast and Furious 1;Action;Policier;Rob Cohen;USA;Paul Walker - Vin Diesel - Michelle Rodriguez - Jordana Brewster;;;DVD;2;2001;Fr-Ang;;;;;;;;;;;
Fast and Furious 2;Action;Policier;John Singleton;USA;Paul Walker - Tyrese Gibson - Eva Mendes;;;DVD;2;2003;Fr-Ang;;;;;;;;;;;
Fast and Furious 3;Action;Policier;Justin Lin;USA;Lucas Black - Shad Moss - Brian Tree - Nikki Griffin - Caroline de Souza Correa;;;DVD;2;2006;Fr-Ang;;;;;;;;;;;
Fast and Furious 4;Action;Policier;Justin Lin;USA;Vin Diesel - Paul Walker - Jordana Brewster - Michelle Rodriguez;;;DVD;2;2009;Fr-Ang;;;;;;;;;;;
Fast and Furious 5;Action;Policier;Justin Lin;USA;Vin Diesel - Paul Walker - Jordana Brewster - Dwayne Johnson;;;DVD;2;2010;Fr-Ang;;;;;;;;;;;
Fast and Furious 6;Action;Policier;Justin Lin;USA;Vin Diesel - Paul Walker - Jordana Brewster - Dwayne Johnson - Jordana Brewster;;;DVD;2;2013;Fr-Ang;;;;;;;;;;;
Fast and Furious 7;Action;Policier;James Wan;USA;Vin Diesel - Paul Walker - Jordana Brewster - Jason Statham - Dwayne Johnson;;;DVD;2;2014;Fr-Ang;;;;;;;;;;;
Fast and Furious 8;Action;Policier;F. Gary Gray;USA;Vin Diesel - Dwayne Johnson - Jason Statham - Michelle Rodriguez - Tyrese Gibson;;;DVD;2;2016;Fr-Ang;;;;;;;;;;;
Fauteuils d'Orchestre;Comedie;Société;;France;Cecile De France - Valerie Lemercier - Albert Dupontel - Claude Brasseur - Dani;;;DVD;;2006;Fr;;;;;;;;;;;
Final Fantasy;Science Fiction;SF;;USA;Images de Synthése;;;DVD;2;2001;Fr-Ang;;;;;;;;;;;
Finding Neverland;Jeunesse;Fantastique;;USA;Johnny Depp - Kate Winslet - Julie Christie - Dustin Hoffman;;;DVD;;2005;Fr-Ang-Esp;;;;;;;;;;;
Firefly 1 (Série);Science Fiction;Space Opéra;;USA;Nathan Fillion - Alan Tudyk;;;DVD;1;2002;Fr-Ang-Esp;;;;;;;;;;;
Firefly 2 (Série);Science Fiction;Space Opéra;;USA;Nathan Fillion - Alan Tudyk;;;DVD;1;2002;Fr-Ang-Esp;;;;;;;;;;;
Firefly 3 (Série);Science Fiction;Space Opéra;;USA;Nathan Fillion - Alan Tudyk;;;DVD;1;2002;Fr-Ang-Esp;;;;;;;;;;;
Firefly 4 (Série);Science Fiction;Space Opéra;;USA;Nathan Fillion - Alan Tudyk;;;DVD;1;2002;Fr-Ang-Esp;;;;;;;;;;;
Fitzcarraldo;Drame;Aventures;Werner Herzog;FR-ALL;Klaus Kinski - Claudia Cardinale;Bur;Coffret;DVD;2;1982;Fr-All;;;;;;;;;;;
Fletch;Comedie;Policier;Michael Ritchie;USA;Chevy Chase - Joe Don Baker - Tim Matheson;;;DVD;1;1985;Fr-Ang-Esp;;OUI;;;;;;;;;
Flyboys;Guerre;1er Guerre Mond.;Tony Bill;USA-FR;James Franco - David Ellison;;;DVD;1;2006;Fr-Ang-Esp;;;;;;;;;;;
Folle Amanda;Théatre;Boulevard;Au Théatre ce Soir;France;Jacqueline Maillan - Daniel Ceccaldi;;;DVD;2;1974;;;;;;;;;;;;
Fool Moon;Comedie;Humour;Jérôme L'hotsky;France;Christophe Aleveque - François Morel - Armelle - Bruno Salomone - Tonya Kinzinger;;;DVD;2;2008;Fr;;;;;;;;;;;
Footloose (1984);Musique;Com. Musicale;Herbert Ross;USA;Kevin Bacon - Lori singer - John Lithgow - Dianne Wiest - Chris Penn - John Bishop;;;DVD;2;1984;Fr-Ang-All-Itl-Esp;;;;;;;;;;;
Footloose (2011);Musique;Com. Musicale;Craig Brewer;USA;Kenny Wormald - Julianne Hough - Dennis Quaid - Andie MacDowell - Patrick John Flueger;;;DVD;1;2011;Fr-Ang-Esp;;;;;;;;;;;
Forrest Gump;Comedie;Drame;Robert Zemeckis;USA;Tom Hanks - Gary Sinise - Robin Wright - Sally Field - Mykeltin Williamson;;;DVD;2;1994;Fr-Ang;;OUI;;;;;;;;;
François Mitterrand Le Roman du Pouvoir;Documentaire;Histoire;;France;Patrick Rotman - Jean Lacouture;;;DVD;2;2001;;;;;;;;;;;;
Frére des Ours;Jeunesse;Dessins Animés;Walt Disney;USA;;;;DVD;2;2003;Fr-Ang;;;;;;;;;;;
Frére des Ours 2;Jeunesse;Dessins Animés;Walt Disney;USA;;;;DVD;1;;Fr-Ang-Esp;;;;;;;;;;;
Frères du Désert;Action;Aventures;Afrique - Shekhar Kapur;USA;Heath Ledger - Wes Bentley - Kate Hudson;;;DVD;2;2002;Fr-Ang;;;;;;;;;;;
From Hell;Policier;Frisson;;USA;Johnny Deep - Heather Graham;;;DVD;2;2001;Fr-Ang-Holl;;;;;;;;;;;
Frou Frou;Comedie;Humour;;France;Louis de Funes - Dany Robin -Gino Cervi;;;DVD;2;1955;Fr;;;;;;;;;;;
Full Metal Jacket;Guerre;Vietnam;Stanley Kubrick;USA;Matthew Modine - Adam Baldwin;;;DVD;2;1987;Fr-Ang-Itl;;;;;;;;;;;
Fureur Apache;Western;Aventures;Robert Aldrich;USA;Burt Lancaster;;;DVD;2;1972;;;;;;;;;;;;
G.I. Joe Conspiration;Action;Aventures;Jon M Chu;USA;Dwayne Johnson - Channing Tatum - Bruce Willis - Byung-Hun Lee - Adrianne Palicki;;;DVD;2;2013;Fr-Ang;;;;;;;;;;;
Gainsbourg au Zenith;Musique;Concert;;France;Serge gainsbourg;;;DVD;2;1989;Fr;;;;;;;;;;;
Gandhi;Divers;Biographie;;GB - Inde;Ben Kingley - Candice Bergen;;;DVD;;1982;;;;;;;;;;;;
Gangs of New York;Action;Aventures;Martin Scorcese;USA;Leornado di Caprio - Daniel day-Lewis;;;DVD;2;2002;Fr-Ang;;;;;;;;;;;
Gantz : Au Commencement;Science Fiction;Manga;Shinsuke Sato;Japon;Kazunari Ninomiya - Kenechi Matsuyama - Yuriko Yoshitaka - Kanata Hongo;;;DVD;2;2011;Fr-Jap;;;;;;;;;;;
Garde Rapprochée;Comedie;Policier;StephenHerek;USA;Tommy Lee JONES - Anne Archer - Brian Van Holt - Christina Milian - Paula Garces;;;DVD;1;2005;Fr-Ang;;;;;;;;;;;
Garfield le Film;Jeunesse;Humour;;USA;Breckin Meyer - Jennifer Love Hewitt;;;DVD;1;2004;Fr-Ang Esp;;;;;;;;;;;
Genghis Khan: A la Conquête du Monde;Action;Historique;Shinichiro Sawai;Japon;Takkashi Sorimachi;;;DVD;2;2007;Fr-Jap;;;;;;;;;;;
Gernika (Guernica);Guerre;Historique;Koldo Serra;ESP-USA-GB-FR;James d'Arcy - Maria Valverde - Jack Davenport Burn Gorman - Ales Garcia - Iréne Escolar ;;;DVD;1;2015;Fr-Ang-Jap-Thai;;;;;;;;;;;
Gettysburg;Western;Secession;;USA;Tom Berenger - Jeff Daniels - Martin Sheen;;;DVD;1;1993;Fr-Ang;;;;;;;;;;;
Ghosts of Mars;Science Fiction;Frisson;;USA;Jason Statham;;;DVD;2;2001;;;;;;;;;;;;
Gigi;Musique;Com. Musicale;;USA;Leslie Caron - Maurice Chevalier - Loius Jourdan;;;DVD;2;1958;Fr-Ang-Itl;;;;;;;;;;;
Gladiator;Action;Péplum;Ridley Scott;USA;Russell Crowe;;;DVD;2;2000;Fr-Ang;;;;;;;;;;;
Glee Saison 1 Volume 1 Episode 1 à 13;Jeunesse;Com. Musicale;;USA;;;;DVD;2;2009;Fr-Ang-All;;;;;;;;;;;
Glee Saison 1 Volume 2 Episode 14 à 22;Jeunesse;Com. Musicale;;USA;;;;DVD;2;2010;Fr-Ang;;;;;;;;;;;
Glory;Western;Secession;;USA;Matthew Broderick - Denzel Washington;;;DVD;2;1989;;;;;;;;;;;;
Godfathers and Sons (The Blues de Martin Scorcese (2-7);Documentaire;Musicale;Marc Levin;USA;;;;DVD;2;2002;Ang;The Blues de Martin Scorcese ;OUI;;;;;;;;;
Gods of Egypt;Fantastique;Aventures;Alex Proyas;USA;Nikolaj Coster-Waldeau - Gerard Butler - Brenton Thwaites - Geoffrey Rush - Courtney Eaton;;;DVD;2;2016;Fr-Ang;;;;;;;;;;;
Godzilla;Science Fiction;Fantastique;Roland Emmerich;USA;Matthew Broderick - Jean Reno;;;DVD;2;1998;Fr-Ang;;;;;;;;;;;
Godzilla (2014);Science Fiction;Fantastique;Gareth Edwards;USA;Aaron Taylor-Johnson - Ken Watanabe - Elisabeth Olsen - Juliette Binoche;;;DVD;2;2014;Fr-Ang;;;;;;;;;;;
Golem: Le Tueur de Londres;Fantastique;Frisson;Juan Carlos Medina;GB;Olivia Cooke - Bill Nighy - Douglas Booth - daniel Mays - Sam Reid - Maria Valverde;;;DVD;2;2017;Fr-Ang;;;;;;;;;;;
Gomorra;Policier;Société;Matteo Garrone;Italie;Toni Servillo;;;DVD;2;2008;Fr-Itl;;;;;;;;;;;
Good Morning England;Comedie;Société;Richard CURTIS;GB;Seymour Hoffman - Kenneth Branagh - Bill Nighy;;;DVD;2;2009;Fr-Ang;;;;;;;;;;;
Good Morning Vietnam;Guerre;Vietnam;Barry Levinson;USA;Robin Williams - Forest Whitaker;;;DVD;1;1987;Fr-Ang;;;;;;;;;;;
Gosford Park;Policier;Société;Robert Altman;GB;Kristin Scott Thomas - Emily Watson - Ryan Phillipe;;;DVD;2;2001;Fr-Ang;;;;;;;;;;;
Gran Torino;Drame;Société;Clint Eastwood;USA;Clint Eastwood;;;DVD;2;2008;Fr-Ang;;;;;;;;;;;
Gravity;Science Fiction;SF;Alfonso Cuaron;USA-GB;Sandra Bullock - George Clooney;;;DVD;2;2013;Fr-Ang-All-Itl;;;;;;;;;;;
Grease;Musique;Com. Musicale;;USA;John Travolta - Olivia Newton-Jones;;;DVD;;1978;;;;;;;;;;;;
Gremlins;Fantastique;SF;Joe Dante;USA;Zach Galligan;;;DVD;;1984;Fr-Ang-Itl;;;;;;;;;;;
Gremlins 2;Fantastique;SF;Joe Dante;USA;Zach Galligan;;;DVD;;1990;Fr-Ang-Itl;;;;;;;;;;;
Grey Owl;Divers;Biographie;Canada;Canada;;;;DVD;1;;;;;;;;;;;;;
Gridiron Gang: Redemption;Comedie;Drame;Phil Joanou;USA;Dwayne Johnson - Xzibit - L. Scott Caldwell - Leon Rippy - ;;;DVD;1;2006;Fr-Ang;;OUI;;;;;;;;;
Grosse Fatigue;Comedie;Société;;France;Michel Blanc - Carole Bouquet;;;DVD;2;1994;Fr;;;;;;;;;;;
Guerre et Paix;Action;Historique;Dino De Lautentis;USA;Audrey Hepburn - Henry Fonda - Mel Ferrer;;;DVD;2;1956;Fr-Ang-Esp;;;;;;;;;;;
Guignols de L'Info (01) Tout à fait Thiérry (Sept. 90 - Juin 92);Humour;Satirique;;France;Guignols de l'Info;;;DVD;2;1992;Fr;Série Les Guignols de L'Info;;;;;;;;;;
Guignols de L'Info (02) Le Monsieur te Demande…(Sept. 92 - Juin 93);Humour;Satirique;;France;Guignols de l'Info;;;DVD;2;1993;Fr;Série Les Guignols de L'Info;;;;;;;;;;
Guignols de L'Info (03) Putains, deux Ans (Sept. 93 - Fév. 94);Humour;Satirique;;France;Guignols de l'Info;;;DVD;2;1994;Fr;Série Les Guignols de L'Info;;;;;;;;;;
Guignols de L'Info (04) La Combine à Nanard (Mars 94 - Juin 94);Humour;Satirique;;France;Guignols de l'Info;;;DVD;2;1994;Fr;Série Les Guignols de L'Info;;;;;;;;;;
Guignols de L'Info (05) J'ai Niqué Couille Molle (Sept. 94 - Juin 95);Humour;Satirique;;France;Guignols de l'Info;;;DVD;2;1995;Fr;Série Les Guignols de L'Info;;;;;;;;;;
Guignols de L'Info (06) Du c.., du c.., du c..(Sept. 95 - Juin 96);Humour;Satirique;;France;Guignols de l'Info;;;DVD;2;1996;Fr;Série Les Guignols de L'Info;;;;;;;;;;
Guignols de L'Info (07) J'y arrive pas  (Sept. 96 - Fév. 97);Humour;Satirique;;France;Guignols de l'Info;;;DVD;2;1997;Fr;Série Les Guignols de L'Info;;;;;;;;;;
Guignols de L'Info (08) Putain, mais quel con ! (Mars 97 - Juin 97);Humour;Satirique;;France;Guignols de l'Info;;;DVD;2;1997;Fr;Série Les Guignols de L'Info;;;;;;;;;;
Guignols de L'Info (09)Y'a paaas de méthode! (Sept. 97 - Juin 98);Humour;Satirique;;France;Guignols de l'Info;;;DVD;2;1998;Fr;Série Les Guignols de L'Info;;;;;;;;;;
Guignols de L'Info (10) On m'aurait menti ? (Sept. 98 - Juin 99);Humour;Satirique;;France;Guignols de l'Info;;;DVD;2;1999;Fr;Série Les Guignols de L'Info;;;;;;;;;;
Guignols de L'Info (11) Ras le bol des Guignols (Sept. 99 - Juin 00);Humour;Satirique;;France;Guignols de l'Info;;;DVD;2;2000;Fr;Série Les Guignols de L'Info;;;;;;;;;;
Guignols de L'Info (12) La fiction : Les vrais gens ont disparu !;Humour;Satirique;;France;Guignols de l'Info;;;DVD;2;1999;Fr;Série Les Guignols de L'Info;;;;;;;;;;
Guignols de L'Info (13) Je peux dire une connerie (Sept. 00 - Juin 01);Humour;Satirique;;France;Guignols de l'Info;;;DVD;2;2001;Fr;Série Les Guignols de L'Info;;;;;;;;;;
Guignols de L'Info (14) Une ispice di counasse d'année (Sept. 01 - Juin 02);Humour;Satirique;;France;Guignols de l'Info;;;DVD;2;2002;Fr;Série Les Guignols de L'Info;;;;;;;;;;
Guignols de L'Info (15) Pardon aux familles.Tout ça !(Sept. 02 - Juin 03);Humour;Satirique;;France;Guignols de l'Info;;;DVD;2;2003;Fr;Série Les Guignols de L'Info;;;;;;;;;;
Guignols de L'Info (16) Un J.P. ça peut tout faire! (Sept. 03 - Juin 04);Humour;Satirique;;France;Guignols de l'Info;;;DVD;2;2004;Fr;Série Les Guignols de L'Info;;;;;;;;;;
Guignols de L'Info (17) Goodbye Louis XVI (Sept. 04 - Juin 05);Humour;Satirique;;France;Guignols de l'Info;;;DVD;2;2005;Fr;Série Les Guignols de L'Info;;;;;;;;;;
Guignols de L'Info (18) Qu'est-ce t'as t'es pas content?(Sept. 05 - Juin 06);Humour;Satirique;;France;Guignols de l'Info;;;DVD;2;2006;Fr;Série Les Guignols de L'Info;;;;;;;;;;
Guignols de L'Info (19) Pot de départ (Sept. 06 - Juin 07);Humour;Satirique;;France;Guignols de l'Info;;;DVD;2;2007;Fr;Série Les Guignols de L'Info;;;;;;;;;;
Guignols de L'Info (20) La France d'après (Sept. 07 - Juin 08);Humour;Satirique;;France;Guignols de l'Info;;;DVD;2;2008;Fr;Série Les Guignols de L'Info;;;;;;;;;;
Guignols de L'Info (21) Une année de beaux gosses (Sept. 08 - Juin 09);Humour;Satirique;;France;Guignols de l'Info;;;DVD;2;2009;Fr;Série Les Guignols de L'Info;;;;;;;;;;
Guignols de L'Info : Putain 20 Ans;Humour;Satirique;;France;Guignols de l'Info;;;DVD;2;2009;Fr;Série Les Guignols de L'Info;;;;;;;;;;
Hamburger Hill;Guerre;Vietnam;John Irvin;USA;Anthony Barrile;;;DVD;2;1987;Fr-Ang;;;;;;;;;;;
Hancock;Science Fiction;Super héros;;USA;Will Smith - Charlize Theron;;;DVD;2;2008;Fr-Ang-Itl;;;;;;;;;;;
Hansel et Greten Chasseurs de Sorcieres;Fantastique;Frisson;;USA;Jeremy Renner - Gemma Arterfon - Gary Sanchez;;;DVD;2;2013;Fr-Ang-Esp;;;;;;;;;;;
Happy Feet;Jeunesse;Dessins Animés;Warner Bros;USA;;;;DVD;1;2006;Fr-Ang;;;;;;;;;;;
Happy Gilmore;Comedie;Humour;Dennis Dugan;USA;Adam Sandler - Christopher McDonald - Julie Bowen - Frances Bay;;;DVD;1;1996;Fr-Ang-Esp;;OUI;;;;;;;;;
Harry Potter 1 l'Ecole des Sorciers;Jeunesse;Fantastique;;USA;Daniel Radcliffe -Rupert Grint -Emma Watson;;;DVD;;2001;Fr-Ang;;;;;;;;;;;
Harry Potter 2 La Chambre des Secrets;Jeunesse;Fantastique;;USA;Daniel Radcliffe -Rupert Grint -Emma Watson;;;DVD;;2002;Fr-Ang;;;;;;;;;;;
Harry Potter 3 Le Prisonnier d'Azkaban;Jeunesse;Fantastique;;GB-USA;Daniel Radcliffe -Rupert Grint -Emma Watson;;;DVD;;2004;Fr-Ang;;;;;;;;;;;
Harry Potter 4 La Coupe de Feu;Jeunesse;Fantastique;;USA;Daniel Radcliffe -Rupert Grint -Emma Watson;;;DVD;;2005;Fr-Ang;;;;;;;;;;;
Harry Potter 5 L'ordre du Phoenix;Jeunesse;Fantastique;David Yates;GB-USA;Daniel Radcliffe -Rupert Grint -Emma Watson;;;DVD;;2007;Fr-Ang;;;;;;;;;;;
Harry Potter 6 Le Prince de Sang-Mêlé;Jeunesse;Fantastique;;USA;Daniel Radcliffe -Rupert Grint -Emma Watson;;;DVD;;2009;Fr-Ang;;;;;;;;;;;
Harry Potter 7 Les Reliques de la Mort 1er partie;Jeunesse;Fantastique;;USA;Daniel Radcliffe -Rupert Grint -Emma Watson;;;DVD;2;2010;Fr-Ang-Flamand;;;;;;;;;;;
Harry Potter 7 Les Reliques de la Mort 2eme partie;Jeunesse;Fantastique;;USA;Daniel Radcliffe -Rupert Grint -Emma Watson;;;DVD;2;2011;Fr-Ang-All-Holl;;;;;;;;;;;
Hatari;Action;Aventures;Afrique - Howard Hawks;USA;John Wayne - Hardy Kruger - Elsa Martinelli;;;DVD;1;1961;Fr-Ang;;;;;;;;;;;
Heat;Policier;Thriller;Michael Man;USA;Al Pacino - Robert De Niro - Val Kilmer;;;DVD;1;1995;Fr-Ang;;;;;;;;;;;
Hellboy 1;Fantastique;Frisson;Guillermo Del Toro;USA;Ron Perlman - Selma Blair;;;DVD;;2004;Fr-Ang;;;;;;;;;;;
Hellboy 2 L'armée d'Or;Fantastique;Frisson;Guillermo Del Toro;USA;Ron Perlman - Selma Blair;;;DVD;;2008;Fr-Ang;;;;;;;;;;;
Hercule;Action;Péplum;Brett Ratner;USA;Dwayne Johnson - Ian McShane - Rufus Sewel - Joseph Fienes - Peter Mullan - John Hurt;;;DVD;2;2014;Fr-Ang;;;;;;;;;;;
Hibernatus;Comedie;Humour;Edouard molinaro;France;Louis de Funes - Michel Lonsdale - Claude Gensac;;;DVD;2;1969;Fr;;;;;;;;;;;
Himalaya L'enfance d'un chef;Jeunesse;Aventures;;France;Kama Wangiel - Gorgon Kyap;;;DVD;;1999;;;;;;;;;;;;
Hocus Pocus ( Les Trois Sorciéres);Jeunesse;Fantastique;Walt Disney;USA;Bette midler - Sarah Jessica Parker - Kathy Najimy;;;DVD;;1994;;;;;;;;;;;;
Home;Documentaire;Nature;;France;Yann Arthus-Bertrand;;;DVD;;2009;;;;;;;;;;;;
Home Alone;Comedie;Humour;;USA;Macaulay Culkin - Joe Pesci - Daniel Stern - John Heard;;;DVD;;1990;Fr-Ang;;;;;;;;;;;
Honkytonk Man;Drame;Société;Clint Eastwood;USA;Clint Eastwood - Kyle Eastwood - Alexa Kenin - John McIntire - Snuff garrett - Matt clark;;;DVD;;1982;;;;;;;;;;;;
Honoré de Marseille;Comedie;Humour;;France;Fernandel - Francis Blanche - Andrex - Rellys;;;DVD;2;1956;Fr;;;;;;;;;;;
Hook;Jeunesse;Fantastique;;USA;Robin Williams - Dustin Hoffman - Julia Roberts - Bob Hoskins;;;DVD;2;1992;Fr-Ang-All;;;;;;;;;;;
Horizons Lointains (Far & Away);Western;Aventures;Ron Howard;USA;Tom CRUISE - Nicole KIDMAN;;;DVD;1;1992;;;;;;;;;;;;
Hot Fuzz;Comedie;Policier;Edgar Wright;USA;Simon Pegg - Nick Frost;;;DVD;1;2007;Fr-Ang;;;;;;;;;;;
House M,D Saisons 1 à 8;Comedie;Drame;David Shore;USA;Hugh Laurie - Robert Sean Leonard - Omar Epps  Jesse Spencer;Alicia;;DVD;1;2004   2012;Ang;Série House intégrale;;;;;;;;;;
Hulk 2;Science Fiction;Super héros;;USA;;;;DVD;2;2008;;;;;;;;;;;;
Hunger Games 1;Science Fiction;Aventures;Gary Ross;USA;Jennifer Lawrence - Josh Hutcherson - Liam Hemsworth - Woody Harrelson;;;DVD;2;2012;Fr-Ang;;;;;;;;;;;
Hunger Games 2 L'embrasement;Science Fiction;Aventures;Francis Lawrence;USA;Jennifer Lawrence - Josh Hutcherson - Liam Hemsworth - Woody Harrelson;;;DVD;2;2013;Fr-Ang;;;;;;;;;;;
Hunger Games 3 La révolte 1/2;Science Fiction;Aventures;Francis Lawrence;USA;Jennifer Lawrence - Josh Hutcherson - Liam Hemsworth - Woody Harrelson;;;DVD;2;2014;Fr-Ang;;;;;;;;;;;
Hunger Games 3 La révolte 2/2;Science Fiction;Aventures;Francis Lawrence;USA;Jennifer Lawrence - Josh Hutcherson - Liam Hemsworth - Woody Harrelson;;;DVD;2;2015;Fr-Ang;;;;;;;;;;;
I Feel Good;Documentaire;Musicale;Stephen Walker;USA;Les Young @Heart;;;DVD;2;2008;Ang;;;;;;;;;;;
I, Frankenstein;Fantastique;Frisson;Stuart Beattie;USA;Aaron Eckhart - Bill Nighy - Yvonne Strahovski - Miranda Otto - Socratis OttoJai Courtney;;;DVD;2;2014;Fr-Ang;;;;;;;;;;;
I, Robot;Science Fiction;SF;Alex royas;USA;Will Smith;;;DVD;1;2003;Fr-Ang-Esp;;;;;;;;;;;
I.A. (Intelligence Artificielle);Science Fiction;SF;Steven Spielberg;USA;Haley Joel Osment - Jude Law;;;DVD;2;2001;Fr-Ang-Itl;;;;;;;;;;;
Il Etait Une Fois;Jeunesse;Fantastique;Walt Disney;USA;Amy Adams - Patrick Dempsey;;;DVD;2;2007;Fr-Ang;;;;;;;;;;;
Il Était une Fois La Légion;Action;Aventures;Dick Richards;GB;Gene Hackman - Ternece Hill - Catherine Deneuve - Max Von Sydow - Ian Holm - Rufus;;;DVD;2;1976;Fr-Ang;;;;;;;;;;;
Il Etait une Fois la Révolution;Western;Aventures;Sergio Leone;USA;Rod Steiger - James Coburn - Romolo Valli;;;DVD;2;1972;Fr-Ang-All;;;;;;;;;;;
Il était une Fois L'Amérique;Policier;Thriller;Sergio Leone;USA-ITL;Robert De Niro - James Wood - Elisabeth McGovern - Joe Pesci - Burt Young;;;DVD;2;1984;Fr-Ang;;;;;;;;;;;
Il Etait Une Fois le Bronx;Policier;Thriller;Robert De Niro;USA;Robert de Niro;;;DVD;2;1993;Fr-Ang;;;;;;;;;;;
Il Faut Sauver le Soldat Ryan;Guerre;2e Guerre Mond.;Steven Spielberg;USA;Tom Hanks - Matt Damon - Edward Burns - Tom Sizemore ;;;DVD;2;1998;Fr-Ang;;;;;;;;;;;
Imogène;Policier;Humour;;France;Catherine Frot - Lambert Wilson;;;DVD;2;2010;Fr;;;;;;;;;;;
Incendies;Drame;Drame;Denis Villeneuve;Canada;Lubna Azabal - Mélissa Désormeaux-Poilin - Maxim Gaudette - Rémy Girard;;;DVD;1;2011;Fr-Ang;;;;;;;;;;;
Inception;Science Fiction;SF;Christofer Nolan;USA;Leornado Di Caprio - Ken Watanabe - Marion Cotillard;;;DVD;2;2010;Fr-Ang-Esp;;;;;;;;;;;
Independence day;Science Fiction;SF;Roland Emmerich;USA;Will Smith - Bill Pullman - Jeff Goldblum;;;DVD;2;1996;Fr-Ang;;;;;;;;;;;
Independence day: Résurgence;Science Fiction;SF;Roland Emmerich;USA;Liam Hemsworth - Jeff Goldblum - Bill Pullman - Jessie T.Usher - Maika Monroe - Vivica A.Fox;;;DVD;2;2016;Fr-Ang;;;;;;;;;;;
Indiana Jones 1 et les Aventuriiers de l'Arche Perdue;Action;Aventures;Steven Spielberg;USA;Harrison Ford;;;DVD;2;1981;Fr-Ang;;;;;;;;;;;
Indiana Jones 2 et le Temple Maudit;Action;Aventures;Steven Spielberg;USA;Harrison Ford;;;DVD;2;1984;Fr-Ang;;;;;;;;;;;
Indiana Jones 3 et la Derniere Croisade;Action;Aventures;Steven Spielberg;USA;Harrison FORD - Sean CONNERY;;;DVD;2;1989;Fr-Ang;;;;;;;;;;;
Indiana Jones 4 et le Royaume du Crâne de Cristal;Action;Aventures;Steven Spielberg;USA;Harrison Ford - Cate Blanchett;;;DVD;2;2008;Fr-Ang-Holl;;;;;;;;;;;
Indigènes;Guerre;2e Guerre Mond.;Rachid Bouchareb;FR-Maroc;Jamel Debbouze - Samy Naceri - Roschdy Zem - Sami Bouajila;;;DVD;2;2006;Fr;;;;;;;;;;;
Indochine;Guerre;Vietnam;Régis Wargnier;France;Catherine Deneuve - Vincent Perez;;;DVD;2;1991;Fr;;;;;;;;;;;
Inferno;Policier;Thriller;Ron Howard;USA;Tom Hanks - Felicity Jones - Ben Foster - Omar Sy - Irrfan Khan - Sidse Babett Knudsen;;;DVD;2;2016;Fr-Ang-Esp;Saga Da Vinci Code 3;;;;;;;;;;
Inglourious Basterds;Guerre;2e Guerre Mond.;Quentin Tarentino;USA;Brad Pitt - Christoph Waltz - Diane Kruger - Michael Fassbender - Eli Roth - Daniel Bruhl;;;DVD;2;2010;Fr-Ang;;;;;;;;;;;
Inside man;Policier;Thriller;;USA;Denzel washington - Clive Owen - Jodie Foster;;;DVD;2;2006;Fr-Ang;;;;;;;;;;;
Interstellar;Science Fiction;SF;Christopher Nolan;USA-GB;Matthew McConaughey - Anna Hathaway - Michael Caine - John Lithgow - Jessica Chastain;;;DVD;2;2014;Fr-Ang-All;;;;;;;;;;;
Invasion;Science Fiction;Frisson;;USA;Nicole Kidman - Daniel Craig;;;DVD;2;2007;Fr-Ang;;;;;;;;;;;
Invictus;Divers;Historique;Clint Eastwood;USA;Morgan Freeman - Matt Damon;;;DVD;;2009;Fr-Ang;;;;;;;;;;;
Iron Man;Science Fiction;Super héros;Jon Favreau;USA;Robert Downey Jr;;;DVD;2;2008;Fr-Ang;;;;;;;;;;;
Iron Man 2;Science Fiction;Super héros;Jon Favreau;USA;Robert Downey Jr - Don Cheadle - Mickey Rourke - Gwyneth Paltrow - Scarlett Johansson;;;DVD;2;2010;Fr-Ang;;;;;;;;;;;
Iron Man 3;Science Fiction;Super héros;Jon Favreau;USA;Robert Downey Jr - Gwyneth Paltrow - Don Cheadle - Don Cheadle - Ben Kingsley;;;DVD;2;2013;Fr-Ang;;;;;;;;;;;
Iron Sky;Science Fiction;Aventures;Timo Vuorensola;USA;Julia Dietze - Gotz Otto - Christopher Kirby - Peta Sergeant - Stephanie Paul - Tilo Pruckner;;;DVD;2;2012;Fr-Ang;;;;;;;;;;;
Iron Sky 2;Science Fiction;Aventures;Timo Vuorensola;All-Belg-Finl;Lara Rossi - Vladimir Burkalov - Julia Dietze - Udo Kier - Tom Green - John Flanders;;;DVD;2;2019;Fr-Ang;;;;;;;;;;;
Ironclade: Battle for Blood;Action;Médievale;Jonathan English;GB;Tom Rhys Harries - Tom Austen - Roxanne McKee -Michelle Fairley - Danny Webb;;;DVD;1;2014;Fr-Ang;;;;;;;;;;;
Ivanhoé;Action;Aventures;Richard Thorpe;USA;Robert Taylor - Elisabeth Taylor - Joan Fontaine - George Sanders - Emlyn Williams;;;DVD;2;1952;Fr-Ang;;;;;;;;;;;
Jack Frost;Jeunesse;Fantastique;;USA;Michael Keaton;;;DVD;1;1998;Fr-Ang;;;;;;;;;;;
