TITRE;CATEGORIE;GENRE;REALISATEUR;ORIGINE;ACTEUR;CLASSEUR;NUMERO;TYPE;ZONE;ANNEE;LANGUE;COMMENTAIRES;VOIR;;;;;;;;;
4 Mariages et 1 Enterrement;Comedie;Humour;;GB;Hugh Grant - Andie Mac Dowell - Kristin Scott-Thomas;;;DVD;;1993;Fr-Ang-Esp;;;;;;;;;;;
47 Ronin;Fantastique;Aventures;Carl Rinsch;USA;Keanu Reeves - Hiroyuki Sanada - Tanabobu Asano - Rinko Kikuchi -Ko Shibasaki;;;DVD;2;2013;Fr-Ang;;;;;;;;;;;
55 Jours de Pekin;Action;Historique;Samuel Bronston;USA;Charlton Heston - David Niven - Audrey Hepburn;;;DVD;2;1960;Fr-Ang;;;;;;;;;;;
8 Femmes;Comedie;Société;Francois Ozon;France;Catherine Deneuve  Isabelle Hupert  Emmanuelle Beart  Fanny ardent  Virginie Ledoyen  Dannielle Darrieux  Ludivine Seignier  Firmine Richard;;;DVD;;2002;Fr;;;;;;;;;;;
8 Mile;Musique;Biographie;;USA;Eminem - Kim Basinger;;;DVD;;2003;;;;;;;;;;;;
9th Company;Guerre;Afghanistan;Fyodor Bondarchuk;Russie;Alexei Chadov - Mickail Evlanov;;;DVD;2;2005;Fr-Rus;;;;;;;;;;;
A Bord du Darjeeling Limited;Drame;Comedie;Wes Anderson;USA;Owen Wilson - Adrien Brody - Jason Schwartzman;;;DVD;;2008;Fr-Ang-Itl;;;;;;;;;;;
A Bout de Souffle;Policier;Thriller;Jean Luc Godard;France;Jean Paul Belmondo - Jean seberg;Bur;Coffret;DVD;2;1960;Fr;;;;;;;;;;;
A Chorus Line;Musique;Com. Musicale;Richard Attenborough;USA;Michael Douglas;;;DVD;;1985;;;;;;;;;;;;
A la Croisée des Mondes La Boussole d'Or;Jeunesse;Heroic Fantaisy;Chris Weitz;USA-GB;Nicole Kidman - Daniel Craig - Dakota Blue Richards;;;DVD;1;2007;Fr-Ang;;;;;;;;;;;
A la Poursuite de Demain;Science Fiction;Aventures;Brad Bird;USA;George Clooney - Hugh Laurie - Britt Robertson- Raffey Cassidy - Tim McGraw - Kathryn Hahn;;;DVD;2;2015;Fr-Ang;;;;;;;;;;;
A Tribute to Carmen;Musique;Concert;;Allemagne;Philarmonic Berlin;;;DVD;2;1998;;;;;;;;;;;;
Abraham Lincoln Chasseur de Vampires;Fantastique;Frisson;Tim Burton;USA;Benjamin Walker;;;BRD + DVD;1;2012;Fr-Ang;Blue-Ray inclus;;;;;;;;;;
Abyss;Science Fiction;Fantastique;James Cameron;USA;Ed Harris;;;DVD;1;1993;Fr-Ang-Esp;;;;;;;;;;;
Adieu Cuba;Drame;Historique;Andy Garcia;USA;Andy Garcia - Dustin Hoffman - Bill Murray - Ines Sastre;;;DVD;2;2005;Fr-Ang;;;;;;;;;;;
Affreux, Sales et Méchants;Comedie;Satirique;Ettore Scola;Italie;Nino Manfredi - Linda moretti;Bur;Coffret;DVD;2;1976;Fr-Itl;;;;;;;;;;;
After Earth;Science Fiction;SF;M, Night Shyamalan;USA;Will Smith - Jaden Smith;;;DVD;2;2013;Fr-Ang;;;;;;;;;;;
Agaguk;Drame;Historique;Inuit;Canada;;;;DVD;2;1992;;;;;;;;;;;;
Aladin;Jeunesse;Dessins Animés;Walt Disney;USA;;;;DVD;2;1992;Fr-Ang;;;;;;;;;;;
Aladin et le Roi des Voleurs;Jeunesse;Dessins Animés;Walt Disney;USA;;;;DVD;2;2010;Fr-Ang;;;;;;;;;;;
Alamo (1960);Western;Historique;John Wayne;USA;John Wayne - Richard Widmark - Laurence Harvey;;;DVD;1;1960;;;;;;;;;;;;
Alamo (2003);Western;Historique;John Lee Hancock;USA;Dennis Quaid - Billy Bob Thornton - Patrick Wilson;;;DVD;1;2003;;;;;;;;;;;;
Albator;Jeunesse;Dessins Animés;Shinji Aramaki;Japon;;;;DVD;2;2013;Fr-Jap;;;;;;;;;;;
Alexandre;Action;Péplum;Oliver Stone;USA;Colin Farrell - Angelina Jolie - Val Kilmer - Jared Leto - Anthony Hopkins - Rosario Dawson;;;DVD;1;2004;Fr-Ang;;;;;;;;;;;
Alexandre Nevski;Guerre;Historique;Eisenstein;URSS;Nicolaï Tcherkasov;Bur;Coffret;DVD;2;1938;Russe;;;;;;;;;;;
Alice au Pays des Merveilles;Jeunesse;Conte;Tim Burton;USA;Johnny Deep - Mia wasikowska;;;DVD;2;2010;Fr-Ang;;;;;;;;;;;
Alice de l'Autre Côté du Miroir;Jeunesse;Conte;James Bobin;USA;Johnny Deep - Mia wasikowska - Helena Bonham Carter - Sacha Baron Cohen - Anna Hathaway;;;DVD;2;2016;Fr-Ang;;;;;;;;;;;
Alien 1;Science Fiction;Frisson;Riddley Scott;GB-USA;Sigourney Weaver;;;DVD;1;1979;Fr-Ang;Saga Alien;;;;;;;;;;
